seq,first,last,age,birthday,gender,email,state,phone,dollar
1,Curtis,Kelley,48,11/2/1963,Male,me@tef.org,NC,(314) 552-5422,$1574.60
2,Adele,Sandoval,34,3/23/1958,Male,vesdej@ja.net,MS,(902) 283-8464,$563.76
3,Lora,Carson,46,1/30/1958,Female,ibcop@nem.io,NY,(460) 351-2604,$7638.13
4,Robert,Nguyen,64,11/10/1975,Male,rumaus@fetabit.io,GA,(318) 544-7918,$3614.10
5,Edwin,Bush,62,3/19/1982,Female,sinpec@wuvu.org,KY,(618) 330-1763,$4554.44
6,Gussie,Nash,57,6/9/1979,Male,dafojedel@sodetini.net,IN,(810) 350-4537,$3544.95
7,Katherine,Manning,57,9/25/1965,Female,fommukod@halebedeh.edu,AL,(806) 371-1082,$7610.77
8,Janie,Fields,56,10/19/1973,Female,wor@iwo.org,PA,(474) 652-3606,$1032.87
9,Roy,Fernandez,52,10/25/1955,Male,tovsa@offi.io,OH,(409) 969-9872,$6430.99
10,Henrietta,Cortez,58,5/19/1992,Female,caga@hed.co.uk,MO,(461) 682-8898,$6718.12
11,Lou,Lowe,33,10/3/1976,Male,bi@jasa.com,MT,(807) 711-6045,$7894.21
12,Alan,Schultz,44,1/8/1965,Male,des@teki.edu,ND,(468) 641-6306,$6782.79
13,Jeanette,Bowers,51,9/21/1974,Male,mulmomot@ictu.com,MD,(241) 258-5233,$481.11
14,Bobby,George,60,1/21/1961,Female,cekro@su.gov,AZ,(538) 800-4895,$277.33
15,Susan,Webster,60,3/25/1954,Male,obojug@govucig.io,CT,(524) 632-9313,$8634.23
16,Caroline,Parks,20,9/16/1996,Female,wismuone@motwil.co.uk,NY,(477) 259-3837,$7683.77
17,Alvin,Powers,23,9/10/1977,Female,hi@torave.net,NH,(474) 540-1784,$8530.61
18,Clara,Dennis,19,2/24/1998,Female,oti@lieh.net,MS,(842) 987-6667,$1587.90
19,Christopher,Wilson,40,11/25/1988,Female,cezid@hoc.com,FL,(445) 617-8561,$5773.01
20,Hettie,Dixon,21,4/22/1966,Female,otadag@kar.gov,CO,(732) 371-8537,$2675.42
21,Edward,King,41,2/22/1977,Female,gegajha@me.co.uk,TN,(961) 667-9413,$8039.42
22,Kenneth,Taylor,50,6/21/1971,Male,hico@sajrenig.io,WV,(311) 412-5703,$4025.27
